,url,segment_no,cumle_icerigi,sözcük_sayisi
49,https://www.iha.com.tr/haber-kapalicarsi-1-haziranda-acilacak-843799/,0,nan,1
50,https://www.iha.com.tr/haber-hdp-onundeki-evlat-nobeti-249uncu-gununde-843797/,0,Çocuklarının terör örgütü PKK tarafından kaçırıldığı iddiası ile 3 Eylül 2019de farklı illerden Diyarbakıra gelerek HDP il binası önünde oturma eylemi başlatan ailelerin evlat nöbeti 249uncu gününe girdi.,28
51,https://www.iha.com.tr/haber-hdp-onundeki-evlat-nobeti-249uncu-gununde-843797/,1,"Hakkarinin Yüksekova ilçesinde 2015 yılında 14 yaşında Kuran kursuna giderken kaçırılan oğlu Hamza için eyleme devam eden anne Zümrüt Salim, HDP il binası önünden oğlu için, çocuklar için gitmeyecekleri söyledi.",30
52,https://www.iha.com.tr/haber-hdp-onundeki-evlat-nobeti-249uncu-gununde-843797/,2,"Salim, ""249 gündür biz buradayız.",5
53,https://www.iha.com.tr/haber-hdp-onundeki-evlat-nobeti-249uncu-gununde-843797/,3,"Evlat için buradayız, biz mücadelemize devam edeceğiz.",7
54,https://www.iha.com.tr/haber-hdp-onundeki-evlat-nobeti-249uncu-gununde-843797/,4,çocuklarımızı bırakmadan eve gitmeyeceğiz.,4
55,https://www.iha.com.tr/haber-hdp-onundeki-evlat-nobeti-249uncu-gununde-843797/,5,HDPye sesleniyorum.,2
56,https://www.iha.com.tr/haber-hdp-onundeki-evlat-nobeti-249uncu-gununde-843797/,6,Bizim çocuklarımızı nasıl götürmüşlerse öyle getirsinler.,6
57,https://www.iha.com.tr/haber-hdp-onundeki-evlat-nobeti-249uncu-gununde-843797/,7,"Niye bizim çocuklarımızı dağa gönderdiler, niye kendi çocuklarını göndermiyorlar.",9
58,https://www.iha.com.tr/haber-hdp-onundeki-evlat-nobeti-249uncu-gununde-843797/,8,"Hamza oğlum, sana sesleniyorum.",4
59,https://www.iha.com.tr/haber-hdp-onundeki-evlat-nobeti-249uncu-gununde-843797/,9,"Eğer beni görüyorsan, duyuyorsan eve dön, o yol senin yolun değil.",11
60,https://www.iha.com.tr/haber-hdp-onundeki-evlat-nobeti-249uncu-gununde-843797/,10,"Oğlum, sen Kuran-ı Kerim okumuştun, sen hafız olacaktın.",8
61,https://www.iha.com.tr/haber-hdp-onundeki-evlat-nobeti-249uncu-gununde-843797/,11,"O yer, senin yerin değil"" dedi.Rıdvan Kılıç",7
62,https://www.iha.com.tr/haber-erzurumda-hafif-siddetli-deprem-843793/,0," Kandilli Rasathanesinden alınan verilere göre; bugün sabah 10.27 sularında merkez üssü Köprüköy ilçesi Yılanlı Mahallesinde 2,7 büyüklüğünde hafif şiddetli deprem meydana geldi.",23
63,https://www.iha.com.tr/haber-erzurumda-hafif-siddetli-deprem-843793/,1,Depremde can ve mal kaybı yaşanmadığı öğrenildi.Murat Çankaya,8
64,https://www.iha.com.tr/haber-yeni-dogan-bebekler-icin-hastanede-siperlik-uretiliyor-843792/,0,Ankarada SBÜ Etlik Zübeyde Hanım Kadın Hastalıkları Eğitim ve Araştırma Hastanesinde yeni doğan bebekler ve anneleri için siperlik üretiliyor.,19
65,https://www.iha.com.tr/haber-yeni-dogan-bebekler-icin-hastanede-siperlik-uretiliyor-843792/,1,"Anne ve bebek için günde yaklaşık 300 siperliğin üretildiği hastanede, miniklerin ve lohusa kadınların alınan tedbirlerle yeni tip korona virüsten korunması hedefleniyor.",22
66,https://www.iha.com.tr/haber-yeni-dogan-bebekler-icin-hastanede-siperlik-uretiliyor-843792/,2,"Hastane terzisinin rengârenk kumaşlarla diktiği koruyucu ekipmanlar bu zor süreçte yeni doğum yapan annelerin yüzünü güldürüyor.Konuya ilişkin açıklama yapan SBÜ Etlik Zübeyde Hanım Kadın Hastalıkları Eğitim ve Araştırma Hastanesi Başhekimi Prof. Dr. Yaprak Üstün, gebelik sürecinde anneden bebeğe bulaş olmadığını belirterek, “Ama biliyoruz ki yeni doğan bebeklerde iki günden sonra korona virüs tespit edilmeye başladı çalışmalardan.",56
67,https://www.iha.com.tr/haber-yeni-dogan-bebekler-icin-hastanede-siperlik-uretiliyor-843792/,3,Dolayısıyla yeni doğan bebekler bu virüsle karşı karşıya kaldıklarında çok savunmasızlar ve bu virüsü rahatlıkla alabiliyorlar.,16
68,https://www.iha.com.tr/haber-yeni-dogan-bebekler-icin-hastanede-siperlik-uretiliyor-843792/,4,Çünkü bağışıklık sistemleri daha gelişmemiş.,5
69,https://www.iha.com.tr/haber-yeni-dogan-bebekler-icin-hastanede-siperlik-uretiliyor-843792/,5,Yeni doğanları maskeyle koruyamayız.,4
70,https://www.iha.com.tr/haber-yeni-dogan-bebekler-icin-hastanede-siperlik-uretiliyor-843792/,6,"İki yaş altına maske takmamız uygun değil, solunum durmasına gidebilecek sıkıntılar oluşturabilir.",12
71,https://www.iha.com.tr/haber-yeni-dogan-bebekler-icin-hastanede-siperlik-uretiliyor-843792/,7,Onları bir şekilde korumamız lazım.,5
72,https://www.iha.com.tr/haber-yeni-dogan-bebekler-icin-hastanede-siperlik-uretiliyor-843792/,8,Bu koruma noktasında da siperlikleri düşündük ve yeni doğanlar için hastanemizde siperlik üretmeye başladık.,14
73,https://www.iha.com.tr/haber-yeni-dogan-bebekler-icin-hastanede-siperlik-uretiliyor-843792/,9,"Her bebeğimize doğumdan sonra siperliklerimizi takıyoruz” dedi.“Hastaneye sık gidişlere gerek yok”Korona virüs sürecinde hastaneye gidişlerle ilgili ailelere tavsiyelerde bulunan Üstün, “Gebelik süreci içerisinde mutlaka en az 4 kez muayene edip görmemiz gerekiyor.",32
74,https://www.iha.com.tr/haber-yeni-dogan-bebekler-icin-hastanede-siperlik-uretiliyor-843792/,10,Gebelik muayeneleri bu korona virüs döneminde ertelenemez.,7
75,https://www.iha.com.tr/haber-yeni-dogan-bebekler-icin-hastanede-siperlik-uretiliyor-843792/,11,Ancak tabi cinsiyet öğrenme gibi sık gidişlere de gerek yok.,10
76,https://www.iha.com.tr/haber-yeni-dogan-bebekler-icin-hastanede-siperlik-uretiliyor-843792/,12,"Yeni doğan ve daha sonraki çocukluk dönemlerinde de aileler çocuklarında farklı semptomlar fark ederlerse bu solunum yolu sistemiyle ilgili olabilir, başka sistemlerle ilgili olabilir farklılık tespit ettiklerinde hekime götürmeleri lazım” diye konuştu.Hastanede günlük çok sayıda doğum gerçekleştiğini vurgulayan Üstün, her yeni doğana mutlaka taktıkları siperliklerin bebeklerin sonraki aşı ve kontrol süreçlerinde de kullanılması gerektiğine dikkat çekti.“Anne sütü başlı başına bebeğin bağışıklık sistemini güçlendirmek için en önemli kaynak”Yeni doğanların bağışıklıklarının düşük olduğuna işaret eden Üstün, annelere önerilerde bulunarak, “Bağışıklık sistemlerini yeni doğanların güçlendirmek için anne sütü ilk 6 ay sadece anne sütü.",91
